Date,Time,Open,High,Low,Close,Volume
06-01-2021,15:15:00,760.645,762.5,759.77,762.035,246597
06-01-2021,15:20:00,761.88,762.15,757.2,757.798,268980
06-01-2021,15:25:00,757.735,760.46,756.798,758.68,272185
06-01-2021,15:30:00,758.53,759.54,756,758.038,320610
06-01-2021,15:35:00,758.125,759.99,757.1,757.88,208537
06-01-2021,15:40:00,757.75,761.95,757.13,761.34,322612
06-01-2021,15:45:00,761.393,761.66,758.85,759.77,293462
06-01-2021,15:50:00,759.29,759.65,755.55,756.467,365828
06-01-2021,15:55:00,756.62,757.86,755,756.46,547854
06-01-2021,16:00:00,755.98,756.8,755,755.5,624697
06-01-2021,16:05:00,755.9,759.3,755.51,758,25376
06-01-2021,16:10:00,758,759.66,757.59,757.59,14457
06-01-2021,16:15:00,757.59,758.2,757.05,758.2,10783
06-01-2021,16:20:00,757.93,758.9,757.35,758.9,11696
06-01-2021,16:25:00,758.88,763.12,758.7,763,49305
06-01-2021,16:30:00,763,765,755.98,764.88,67449
06-01-2021,16:35:00,764.75,765,763.14,763.55,37259
06-01-2021,16:40:00,763.44,763.56,762.25,762.25,15147
06-01-2021,16:45:00,762.27,764.14,762.27,763.61,15878
06-01-2021,16:50:00,763.82,763.93,762.51,763.39,8098
06-01-2021,16:55:00,763.25,763.86,762.75,762.75,11474
06-01-2021,17:00:00,762.64,762.75,760.76,760.76,5393
06-01-2021,17:05:00,760.96,761.74,760.5,761.5,6252
06-01-2021,17:10:00,761.23,761.25,760.53,760.62,2615
06-01-2021,17:15:00,761.16,761.16,760.5,760.5,2652
06-01-2021,17:20:00,760.3,761,760.05,760.88,5394
06-01-2021,17:25:00,760.41,761.5,760.41,761.4,3507
06-01-2021,17:30:00,761.5,762.49,761.12,762,4923
06-01-2021,17:35:00,761.63,762.27,761.56,762,3164
06-01-2021,17:40:00,761.9,762,761.61,761.95,3178
06-01-2021,17:45:00,761.8,761.8,760.55,761.3,16128
06-01-2021,17:50:00,761,761.2,760.4,760.4,1208
06-01-2021,17:55:00,760.5,760.52,760.39,760.5,3698
06-01-2021,18:00:00,760.8,761.77,760.8,761.77,3049
06-01-2021,18:05:00,761.79,761.79,761.41,761.5,1937
06-01-2021,18:10:00,761.5,761.58,761.45,761.58,1633
06-01-2021,18:15:00,761.56,761.79,761.32,761.79,3439
06-01-2021,18:20:00,761.77,761.79,761.3,761.32,3393
06-01-2021,18:25:00,761.6,762,761.55,762,8187
06-01-2021,18:30:00,762.35,762.8,761.75,762,3506
06-01-2021,18:35:00,761.6,762,761.6,761.6,4145
06-01-2021,18:40:00,761.6,762.58,761.6,762.45,5347
06-01-2021,18:45:00,762.03,762.44,761.7,762.3,4364
06-01-2021,18:50:00,762.25,762.3,762,762.24,4799
06-01-2021,18:55:00,762.01,762.27,762.01,762.01,955
06-01-2021,19:00:00,762.07,762.25,762,762.05,5026
06-01-2021,19:05:00,762,762.15,762,762.06,4581
06-01-2021,19:10:00,762.05,762.1,761.88,761.88,5603
06-01-2021,19:15:00,762,762.25,762,762.23,4426
06-01-2021,19:20:00,762.23,762.59,762.23,762.23,2444
06-01-2021,19:25:00,762.4,763.25,762.4,763.25,10481
06-01-2021,19:30:00,762.94,762.95,762.4,762.5,6486
06-01-2021,19:35:00,762.3,763,762.3,763,9568
06-01-2021,19:40:00,763,764.07,763,763.73,25832
